SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,bureau_total_loans,bureau_active_loans,bureau_closed_loans,bureau_mean_credit,bureau_max_credit,bureau_mean_debt,bureau_mean_overdue,bureau_mean_annuity,bureau_mean_duration,bureau_pct_active,bureau_bal_avg_months,bureau_bal_count_overdue,bureau_bal_count_active,bureau_bal_total_records,latest_status_1,latest_status_2,latest_status_3,latest_status_4,latest_status_5,latest_status_C,latest_status_X,prev_total_apps,prev_approved_apps,prev_refused_apps,prev_mean_requested_credit,prev_mean_approved_credit,prev_mean_annuity,prev_mean_decision_days,prev_mean_down_payment,prev_approved_rate,prev_refused_rate,pos_total_loans,pos_mean_remaining_inst,pos_mean_completed_inst,pos_avg_dpd,pos_avg_dpd_def,pos_latest_balance_month,cc_total_cards,cc_mean_limit,cc_mean_balance,cc_mean_drawings,cc_mean_payment,cc_mean_utilization,cc_max_utilization,inst_total_installments,inst_mean_inst_amount,inst_mean_payment_amount,inst_mean_delay,inst_pct_late,inst_pct_early,inst_max_delay,inst_mean_days_early,AGE,YEARS_EMPLOYED
197951,0,Cash loans,M,Y,Y,0,112500.0,254700.0,17149.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0105,-13162,-4662,-3203.0,-19,9.0,1,1,1,1,1,0,Laborers,2.0,3,3,TUESDAY,13,0,0,0,1,1,1,Kindergarten,0.555495310714976,0.4635260581429279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,10.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,1.0,95185.8,95875.2,9544.221,-1633.0,5799.6,80.0,20.0,4.0,5.371428571428571,4.171428571428572,0.0,0.0,-18.0,,,,,,,,32.0,12412.69171875,12412.69171875,0.0,0.0,100.0,-3.0,19.6875,36.06027397260274,12.772602739726027
420737,0,Revolving loans,F,N,Y,0,135000.0,225000.0,11250.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.00823,-15428,-4213,-3795.0,-3939,,1,1,0,1,0,0,Sales staff,2.0,2,2,WEDNESDAY,15,0,0,0,0,0,0,Business Entity Type 3,,0.583989799770408,0.4561097392782771,0.0825,0.0647,0.9752,,,0.0,0.1379,0.1667,,0.0721,,0.07,,0.0,0.084,0.0671,0.9752,,,0.0,0.1379,0.1667,,0.0737,,0.0729,,0.0,0.0833,0.0647,0.9752,,,0.0,0.1379,0.1667,,0.0733,,0.0713,,0.0,,block of flats,0.0551,Panel,No,0.0,0.0,0.0,0.0,-175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,76743.0,155655.0,20188.125,0.0,,-1757.4,40.0,,,,,,,,,,,,1.0,1.0,0.0,167310.0,167310.0,16016.58,-176.0,0.0,100.0,0.0,1.0,10.0,2.0,0.0,0.0,-2.0,,,,,,,,5.0,16016.579999999998,16016.579999999998,0.0,0.0,100.0,-5.0,10.2,42.26849315068493,11.542465753424658
171261,0,Cash loans,F,N,Y,0,225000.0,299772.0,9702.0,247500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-20696,365243,-10072.0,-4213,,1,0,0,1,1,0,,2.0,2,2,MONDAY,9,0,0,0,0,0,0,XNA,,0.4628464008164414,0.7934490301648944,0.0928,0.1173,0.9861,,,0.0,0.2069,0.1667,,,,0.0919,,0.0421,0.0945,0.1217,0.9861,,,0.0,0.2069,0.1667,,,,0.0957,,0.0445,0.0937,0.1173,0.9861,,,0.0,0.2069,0.1667,,,,0.0935,,0.0429,,block of flats,0.0749,"Stone, brick",No,0.0,0.0,0.0,0.0,-207.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,225000.0,225000.0,6768.0,0.0,,-2470.0,100.0,,,,,,,,,,,,13.0,5.0,0.0,67050.0,74671.96153846153,11038.284,-267.6923076923077,0.0,38.46153846153847,0.0,4.0,18.321428571428573,3.5357142857142856,0.0,0.0,-1.0,1.0,292500.0,90726.40125,73125.0,2250.0,0.3101757307692307,1.0039973846153845,28.0,19241.046964285717,19241.046964285717,0.0,0.0,92.85714285714286,0.0,20.928571428571427,56.701369863013696,
161484,0,Revolving loans,F,N,Y,0,180000.0,495000.0,24750.0,495000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.031329,-22675,-3420,-5243.0,-4130,,1,1,1,1,1,0,Core staff,2.0,2,2,FRIDAY,17,0,0,0,0,0,0,Self-employed,0.8892065694031775,0.5713627163315373,0.3392876999089139,0.2113,0.0934,0.999,0.9864,0.0973,0.24,0.1379,0.5,0.375,0.1422,0.1681,0.2205,0.0193,0.0539,0.2153,0.0969,0.999,0.9869,0.0982,0.2417,0.1379,0.5,0.375,0.1455,0.1837,0.2297,0.0195,0.0571,0.2134,0.0934,0.999,0.9866,0.098,0.24,0.1379,0.5,0.375,0.1447,0.171,0.2244,0.0194,0.0551,org spec account,terraced house,0.1818,Monolithic,No,0.0,0.0,0.0,0.0,-382.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,240777.0,360000.0,53419.5,0.0,,-1151.0,33.33333333333333,,,,,,,,,,,,1.0,1.0,0.0,65857.5,65857.5,11167.47,-382.0,0.0,100.0,0.0,1.0,2.625,3.375,0.0,0.0,-6.0,,,,,,,,6.0,11166.9225,11166.9225,0.0,0.0,100.0,-10.0,10.833333333333334,62.12328767123287,9.36986301369863
184781,0,Cash loans,F,N,N,1,135000.0,284400.0,13963.5,225000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.072508,-11077,-2159,-1777.0,-1791,,1,1,1,1,1,0,Accountants,3.0,1,1,THURSDAY,14,1,0,1,1,0,1,Business Entity Type 1,0.2773891858976707,0.3390910688985911,0.6801388218428291,0.1041,0.0434,0.9747,0.6532,0.0,0.08,0.069,0.3125,0.3542,0.0173,0.071,0.0874,0.0019,0.0079,0.0357,0.0095,0.9732,0.6472,0.0,0.0,0.069,0.1667,0.2083,0.0,0.0009,0.0311,0.0,0.0,0.1051,0.0434,0.9747,0.6578,0.0,0.08,0.069,0.3125,0.3542,0.0176,0.0723,0.0889,0.0019,0.008,reg oper account,block of flats,0.0269,Block,No,0.0,0.0,0.0,0.0,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,122220.0,122220.0,0.0,0.0,8995.5,-1255.0,0.0,-20.5,1.0,41.0,42.0,False,False,False,False,False,True,False,1.0,1.0,0.0,43416.0,43416.0,4492.935,-1153.0,0.0,100.0,0.0,1.0,6.454545454545454,5.181818181818182,0.0,0.0,-27.0,,,,,,,,10.0,5325.75,5325.75,0.0,0.0,100.0,-10.0,32.5,30.34794520547945,5.9150684931506845
430430,0,Cash loans,F,Y,Y,0,270000.0,1198944.0,43195.5,1035000.0,Family,State servant,Higher education,Married,House / apartment,0.00702,-9812,-2788,-882.0,-2347,17.0,1,1,0,1,0,1,Laborers,2.0,2,2,FRIDAY,13,0,0,0,0,1,1,Military,0.396227452432758,0.2972295512359738,0.4596904504249018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-574.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,270000.0,270000.0,86845.5,0.0,,-469.0,100.0,-7.5,0.0,16.0,16.0,False,False,False,False,False,False,True,3.0,3.0,0.0,63526.5,321304.5,17142.27,-768.6666666666666,0.0,100.0,0.0,2.0,9.0,9.0,0.0,0.0,-8.0,1.0,765000.0,287218.0989473684,90473.68421052632,80354.5475,0.37544849535603714,0.7600979999999999,73.0,23062.074657534245,23062.074657534245,0.0273972602739726,2.73972602739726,68.4931506849315,1.0,5.136986301369863,26.882191780821916,7.638356164383562
219395,0,Revolving loans,M,Y,Y,2,157500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019101,-12046,-954,-1416.0,-3903,6.0,1,1,0,1,0,0,Drivers,4.0,2,2,FRIDAY,16,0,0,0,0,0,0,Self-employed,,0.5315421969812226,0.3280631605201915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-458.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,344160.3375,1182829.5,253484.055,0.0,,-550.25,100.0,,,,,,,,,,,,2.0,2.0,0.0,49477.5,53280.0,6886.8225,-290.0,0.0,100.0,0.0,2.0,7.222222222222222,2.0,0.0,0.0,-2.0,,,,,,,,8.0,13516.70625,13516.70625,0.0,0.0,100.0,-10.0,12.625,33.0027397260274,2.6136986301369864
451631,0,Cash loans,F,N,Y,0,171000.0,364896.0,18760.5,315000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.022625,-22760,365243,-3943.0,-3746,,1,0,0,1,0,0,,1.0,2,2,THURSDAY,16,0,0,0,0,0,0,XNA,,0.1879956611659352,0.1604889306273446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1174.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,6.0,2.0,125775.0,270000.0,113488.71428571429,0.0,,-446.625,75.0,,,,,,,,,,,,20.0,4.0,11.0,192825.0,223527.15,11253.708,-318.9,,20.0,55.00000000000001,3.0,15.9,7.975,0.0,0.0,-6.0,1.0,112500.0,46177.460999999996,22500.0,31942.7775,0.41046632,1.0698,44.0,22096.75090909091,21544.527272727275,0.06818181818181818,2.272727272727273,86.36363636363636,3.0,5.636363636363637,62.35616438356164,
215876,0,Cash loans,F,N,Y,0,90000.0,454500.0,21996.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-16274,-1513,-639.0,-4530,,1,1,0,1,0,0,Cooking staff,2.0,2,2,THURSDAY,11,0,0,0,0,1,1,Kindergarten,,0.053110593178548,0.5460231970049609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,9.0,179477.5725,832500.0,68779.5,0.0,3030.3163636363633,-1119.5833333333333,25.0,-25.83423913043478,0.0,368.0,368.0,False,False,False,False,False,True,False,1.0,1.0,0.0,28525.5,26406.0,3081.6,-2404.0,4500.0,100.0,0.0,1.0,4.0,3.0,0.0,0.0,-73.0,,,,,,,,7.0,5154.319285714286,5154.319285714286,0.0,0.0,100.0,-7.0,59.142857142857146,44.586301369863016,4.145205479452055
240873,0,Cash loans,M,Y,N,0,450000.0,2614635.0,69102.0,2182500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.072508,-15386,-203,-7973.0,-4390,22.0,1,1,0,1,1,0,Core staff,2.0,1,1,TUESDAY,18,0,1,1,0,0,0,Business Entity Type 3,,0.6924831577443301,,0.4629,0.207,0.9831,0.7688,0.2953,0.56,0.2414,0.625,0.6667,0.0,0.3766,0.2871,0.0039,0.0023,0.4716,0.2148,0.9831,0.7779,0.298,0.5639,0.2414,0.625,0.6667,0.0,0.4114,0.2991,0.0039,0.0024,0.4674,0.207,0.9831,0.7719,0.2972,0.56,0.2414,0.625,0.6667,0.0,0.3831,0.2923,0.0039,0.0023,reg oper account,block of flats,0.3873,Panel,No,0.0,0.0,0.0,0.0,-1780.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,135000.0,135000.0,0.0,0.0,,-2763.0,0.0,,,,,,,,,,,,5.0,3.0,0.0,274499.1,298174.5,36350.97,-605.2,9000.0,60.0,0.0,2.0,7.68,6.96,0.0,0.0,-1.0,1.0,67500.0,0.0,0.0,,0.0,0.0,23.0,70578.73956521739,70578.73956521739,0.0,0.0,86.95652173913044,0.0,6.826086956521739,42.153424657534245,0.5561643835616439
